"player_id","player_name"
7022,"Jesús Joaquín Fernández Sáez de la Torre"
7030,"Raúl Albiol i Tortajada"
7040,"Marko Rog"
7064,"Lucas Ariel Boyé"
7068,"Marc Bartra Aregall"
7104,"Mathías Olivera Miramontes"
7105,"Fabián Ariel Orellana Valenzuela"
7154,"Sebastián Carlos Cristóforo Pepe"
7478,"Alejandro Berenguer Remiro"
7578,"Anthony Rubén Lozano Colón"
7621,"Hugo Duro Perales"
7699,"Daniele Verde"
7814,"Anthony Le Tallec"
7897,"Miguel Ángel Garrido Cifuentes"
7900,"Tiago Manuel Dias Correia"
7907,"Pedro Bigas Rigo"
7910,"Lorenzo Jesús Morón García"
8068,"Maximilian Wöber"
8118,"Frenkie de Jong"
8206,"Arturo Erasmo Vidal Pardo"
8252,"Martin Ødegaard"
8419,"Duje Čop"
8540,"Kenan Kodro"
8555,"Pablo Ezequiel De Blasis"
8572,"Karim Rekik"
8652,"Jasper Cillessen"
8654,"Ante Budimir"
8668,"Kevin-Prince Boateng"
8819,"Alexander Isak"
8866,"Carlos Fernández Luna"
9003,"Paul Gallagher"
9353,"Nicky Hunt"
9462,"José Ignacio Peleteiro Ramallo"
9585,"Stewart Downing"
9747,"Axel Werner"
9845,"John Welsh"
9857,"José Manuel Sánchez Guillén"
10318,"Ljubomir Fejsa"
10323,"Alfa Semedo Esteves"
10525,"Kenny Miller"
10605,"Rodrigo Andrés Battaglia"
10709,"Modibo Sagnan"
10763,"Asier Riesgo Unamuno"
11009,"Chris Baird"
11167,"Felipe Augusto de Almeida Monteiro"
11270,"Eiður Smári Guðjohnsen"
11291,"Laureano Antonio Villa Suárez"
11292,"Pedro Antonio Porro Sauceda"
11293,"Fernando Calero Villa"
11294,"Borja Fernández Fernández"
11296,"Óscar Plano Pedreño"
11297,"Javier Moyano Lujano"
11298,"José Ignacio Martínez García"
11300,"Rubén Alcaraz Jiménez"
11301,"Miguel Alfonso Herrero Javaloyas"
11302,"Jordi Masip López"
11303,"Anuar Mohamed Tuhami"
11304,"Francisco José Olivas Alba"
11332,"Ibrahim Amadou"
11348,"Robbie Keane"
11384,"Manuel Morlanes Ariño"
11385,"Santiago Cáseres"
11386,"Santiago Cazorla González"
11388,"Néstor Alejandro Araújo Razo"
11389,"Francisco José Beltrán Peinado"
11391,"Borja Iglesias Quintas"
11392,"Arthur Henrique Ramos de Oliveira Melo"
11501,"Darwin Daniel Machís Marcano"
11532,"Jean-Clair Todibo"
11535,"José Ángel Pozo la Rosa"
11538,"Alejandro Moreno Lopera"
11539,"Adrián Embarba Blázquez"
11541,"Tomáš Vaclík"
11550,"Jaime Mata Arnaiz"
11634,"Cristiano Piccini"
11669,"Gonzalo Julián Melero Manzanares"
11670,"David Ferreiro Quiroga"
11671,"Juan Camilo Hernández Suárez"
11672,"Samuele Longo"
11673,"Alejandro Gallar Falguera"
11674,"Damián Marcelo Musto"
11675,"Moisés Gómez Bordonado"
11676,"Jorge Miramón Santagertrudis"
11677,"Jorge Pulido Mayoral"
11678,"Luis Ezequiel Ávila"
11730,"Jonathan Cristian Silva"
11744,"Peru Nolaskoain Esnal"
11745,"Michael Nicolás Santos Rosadilla"
11746,"Unai López Cabrera"
11748,"Unai Simón Mendibil"
12020,"Hernâni Jorge Santos Fortes"
12021,"Óliver Torres Muñoz"
12041,"João Félix Sequeira"
12072,"Pere Milla Peña"
12073,"Pablo Hervías Ruiz"
12190,"Patrick Twumasi"
12192,"Álvaro García Rivera"
12194,"Santiago Comesaña Veiga"
12419,"Lucas Torró Marset"
12529,"Ashley Cole"
12554,"Serdar Gürler"
12555,"Okay Yokuşlu"
13042,"Tim Howard"
13107,"Sergio Álvarez Díaz"
13108,"Marc Cardona Rovira"
13360,"Quincy Anton Promes"
13439,"Liam Ridgewell"
13599,"Carles Aleña Castillo"
13620,"Éder Gabriel Militão"
13808,"Radostin Kishishev"
15036,"Edwin van der Sar"
15042,"Dennis Bergkamp"
15049,"Billy McKinlay"
15073,"Youri Djorkaeff"
15095,"Tugay Kerimoğlu"
15173,"Steffen Freund"
15259,"Patrik Berger"
15272,"Markus Babbel"
15280,"Vladimir Smicer"
15281,"Dino Baggio"
15399,"Robbie Fowler"
15400,"Nick Barmby"
15402,"Gary Neville"
15403,"Gareth Southgate"
15405,"Paul Ince"
15407,"Steve McManaman"
15409,"David Seaman"
15410,"Teddy Sheringham"
15411,"Darren Anderton"
15505,"Steve Stone"
15512,"Sylvain Wiltord"
15513,"Thomas Gravesen"
